我要撤销蚂蚁借呗	蚂蚁借呗不用好不好关闭	0
为什么我上次借呗看见开通了 今天又没有了	我刚开通的借呗怎没有了	0
为什么借呗的借款时间上限变成***个月了？原来有***个月	蚂蚁借呗的借款日期为什么不是***个月了	0
外卖可以使用花呗么	叫饿了么外卖怎么看能不能用花呗	0
花呗收钱码怎么用不了	开通收款码后我的花呗怎么用不了了	0
花呗怎么提前还款	我已经提前还款了 我现在不想还那么早 怎么让花呗退回来	0
邮政储蓄银行的储蓄卡不能用来还花呗吗	邮政银行的储蓄卡可以还花呗吗	1
退款到了花呗，怎么取回卡	花呗退款怎么还没退到余额	0
可用花呗额度不足	花呗额度不足也可以支付	0
我已还清借呗的钱，怎么样才能再次使用借呗	到底要怎么使用才能尽快使用借呗	0
蚂蚁借呗给了额度，申请了为什么没通过	蚂蚁借呗申请经综合评估暂未通过	0
花呗买东西怎么查看物流	买东西花呗钱不够怎么办	0
如何把花呗还款取消	蚂蚁花呗怎么可以取消还款	0
怎么查询花呗额度	能查下花呗额度吗	0
借呗手动还款为什么会逾期	借呗手动还款怎么还显示账单	0
刷花呗有额度限制吗	为什么我花呗线下支付额度有限制	0
退款金额大于我花呗欠款 差额去哪里了	我花呗的退款额度去哪里了	0
我登录花呗为什么总是显示用支付宝帐户登录	点开说可以登陆支付宝账户使用花呗 我我已经登录了	0
借呗还款日自动扣款失败，***点之前还可以么	今天是借呗还款日，不能自动还款怎么办	0
借了借呗的钱一天了没到账	我用借呗提款没到账	0
我购买手机时，显示是可以花呗分期，但是付款时出来窗口是全额付款	花呗可以在实体店付款吗	0
花呗付款不了	退不了，人家只冻结我花呗	0
商家如何用花呗收款	收款码和签约商户，如果消费者要使用花呗去消费，单笔上线哪个更高一些	0
我用了很多了，但是还是开通不了，没借呗	我的借呗，为什么借不了开通不了	0
花呗，还款这么还	蚂蚁花呗在哪里还款	0
花呗是每月几号结账	每个月的几号为花呗调整日期	0
花呗分期以后，提前结清，还能不能再分期管款	我按照提示进入花呗后，想提前还剩余的分期	0
为啥点开花呗写的是以前的支付宝号	花呗显示之前的支付宝账号已开通，如何找回来	0
消费时花呗密码	花呗支付宝密码	0
我的芝麻信誉是***怎么开不通借呗	我芝麻信用有***分为什么看不了花呗	0
什么时候可以降低花呗额度	花呗杂么降低额度	1
借呗每月按时在还款，现在怎么不显示额度了	为什么借呗里不显示信誉额度	0
蚂蚁借呗可以用来发红包吗	花呗能用啥发红包吗	0
花呗退货 运费险去哪儿了	运费是退给花呗吗	0
花呗分期钱可以提前还款吗	花呗可以提前还吗	0
我的蚂蚁借呗余额宝有钱为什么不自动扣款	为什么蚂蚁借呗中午没有自动扣款	0
为什么我的花呗额度清零了	为什么花呗能超出额度使用	0
借呗自动关闭	蚂蚁借呗功能关闭	1
蚂蚁借呗逾期过还可以借吗	借呗可以申请***期吗	0
没有公积金可以申请开通蚂蚁借呗吗	我申请借呗怎么还没有通过	0
花呗里面没有看到	花呗也没有看到钱	0
花呗注销，会对支付宝信用有影响吗	花呗透支会影响借呗的使用吗	0
为什么花呗显示我有专用机会提额，是真的吗	我花呗用了够多了什么也不提额	0
支付宝付款怎么样切换到花呗付款	其他付款怎么切换花呗	0
可不可以把借呗额降低	借呗的额度可以帮我提升吗	0
淘宝卖家花呗	卖家如何开通花呗付款	0
开通花呗的账户可以更换吗	以前的号码不用了，但是花呗是之前的号码开通的，怎么更换现在的号码	1
打不开花呗	为什么花呗打不开	1
花呗收钱就是用支付宝帐号收嘛	我用手机花呗收钱	0
花呗买东西，商家不发货怎么退款	花呗已经分期的商品 退款怎么办	0
花呗可以用来买车票吗	花呗可以买香烟	0
花呗分期还款提前还款时需要计算利息吗	花呗分期后，要提前结清还要手续费吗	0
花呗额度上升慢是为什么	蚂蚁借呗还款准时为什么还不能提升额度	0
